tick_id,fire_at,decision,claimed_spy,claimed_bar_label,last_closed_bar_open,last_closed_close,in_progress_bar_open,in_progress_close_so_far,in_progress_high,in_progress_low,divergence_vs_closed,divergence_dollars,ribbon_cents,bear_score,bull_score,classification,notes
3,09:39:02,(no_decision),,,09:30,755.7000122070312,09:35,756.25,756.5800170898438,755.5800170898438,,,,,,NO_DATA,
6,09:48:02,(no_decision),,,09:40,756.239990234375,09:45,756.4000244140625,756.6900024414062,756.2100219726562,,,,,,NO_DATA,
11,10:03:02,(no_decision),,,09:55,755.5499877929688,10:00,755.5999755859375,756.0800170898438,755.3200073242188,,,,,,NO_DATA,
16,10:18:03,(no_decision),,,10:10,755.9400024414062,10:15,755.9000244140625,756.760009765625,755.7000122070312,,,,,,NO_DATA,
21,10:33:02,(no_decision),,,10:25,755.85498046875,10:30,755.739990234375,756.1799926757812,755.5399780273438,,,,,,NO_DATA,
26,10:48:02,(no_decision),,,10:40,755.8099975585938,10:45,755.6500244140625,755.97998046875,755.489990234375,,,,,,NO_DATA,
30,11:00:02,HOLD,755.71,11:00,10:55,755.655029296875,11:00,755.780029296875,755.8499755859375,755.4500122070312,0.055,0.055,74,8,10,MISALIGNED-BENIGN,spy=755.71 ribbon=74c(BEAR) vix=16.14(flat) bear=8/10 bull=10/11 htf=null | bear blocked VIX<17.30+no_seller_pressure; bull blocked ribbon_n
31,11:03:02,HOLD,755.77,11:03,10:55,755.655029296875,11:00,755.780029296875,755.8499755859375,755.4500122070312,0.115,0.115,74,8,10,MISALIGNED-BENIGN,spy=755.77 ribbon=74c(BEAR) vix=16.14(flat) bear=8/10 bull=10/11 htf=null | VIX below threshold (16.14 < 17.30); last bar GREEN (no seller p
33,11:09:02,HOLD,756.07,11:09,11:00,755.780029296875,11:05,756.02001953125,756.27001953125,755.4500122070312,0.29,0.29,69,7,9,MISALIGNED-BENIGN,spy=756.07 ribbon=69c(BEAR) vix=16.14(flat) bear=7/10 bull=9/11 htf=null | VIX<17.30 and no seller pressure block BEAR; ribbon BEAR blocks B
36,11:18:02,(no_decision),,,11:10,755.9400024414062,11:15,755.8800048828125,756.0900268554688,755.7999877929688,,,,,,NO_DATA,
39,11:27:02,(no_decision),,,11:20,756.2550048828125,11:25,756.1599731445312,756.3099975585938,755.9600219726562,,,,,,NO_DATA,
41,11:33:02,HOLD,756.16,11:33,11:25,756.1599731445312,11:30,757.0399780273438,757.2999877929688,756.1400146484375,0.0,0.0,35,8,9,ALIGNED,spy=756.16 ribbon=35c(BEAR) vix=15.89(falling) bear=8/10 bull=9/11 htf=null | VIX<17.30 blocks bear; ribbon BEAR + no buyer pressure block b
42,11:36:02,HOLD,757.3,11:36,11:30,757.0399780273438,11:35,757.4000244140625,757.4199829101562,757.0,0.26,0.26,22,4,7,MISALIGNED-BENIGN,"spy=757.3 ribbon=22c(MIXED) vix=15.87(falling) bear=4/10 bull=7/11 htf=null | ribbon incomplete (Pivot<Fast<Slow, not BULL stack); spread 22"
46,11:48:02,HOLD,757.27,11:48,11:40,757.2849731445312,11:45,756.9000244140625,757.3200073242188,756.8900146484375,-0.015,-0.015,,8,10,ALIGNED,"spy=757.27 ribbon=mixed(756.66/756.48/756.35) vix=16.08(falling) bear=8/10 bull=10/11 | ribbon stack unusual, neither BEAR nor BULL fires; V"
51,12:03:02,HOLD,756.97,12:03,11:55,756.7150268554688,12:00,756.875,757.25,756.7000122070312,0.255,0.255,22,4,6,MISALIGNED-BENIGN,"spy=756.97 ribbon=22c(MIXED) vix=16.08(falling) bear=4/10 bull=6/11 htf=null | Ribbon MIXED+compressing, vol divergence chop, VIX lowΓÇöawai"
54,12:12:02,HOLD,756.81,12:12,12:05,756.7999877929688,12:10,756.5300903320312,756.7999877929688,756.3099975585938,0.01,0.01,22,4,6,ALIGNED,spy=756.81 ribbon=22c(MIXED) vix=16.08(falling) bear=4/10 bull=6/11 htf=null | ribbon_chop_compression_vix_low
56,12:18:02,HOLD,756.54,12:18,12:10,756.5300903320312,12:15,756.344970703125,756.6199951171875,755.8709716796875,0.0099,0.0099,20,4,6,ALIGNED,spy=756.54 ribbon=20c(MIXED) vix=16.08(falling) bear=4/10 bull=6/11 htf=null | ribbon_mixed_spread_20c_chop_blocks_both_setups
57,12:21:02,HOLD,756.47,12:21,12:15,756.344970703125,12:20,756.719970703125,756.760009765625,756.3099975585938,0.125,0.125,20,4,6,MISALIGNED-BENIGN,spy=756.47 ribbon=20c(MIXED) vix=16.08(falling) bear=4/10 bull=6/11 htf=null | ribbon mixed + spread 20c chop both blocked
61,12:33:02,HOLD,757.09,12:33,12:25,756.780029296875,12:30,757.1199951171875,757.2899780273438,756.780029296875,0.31,0.31,11,4,7,MISALIGNED-BENIGN,"spy=757.09 ribbon=11c(MIXED) vix=15.96(falling) bear=4/10 bull=7/11 | key-levels expired, no triggers, spread chop"
63,12:39:02,HOLD,757.12,12:39,12:30,757.1199951171875,12:35,757.1599731445312,757.25,756.9199829101562,0.0,0.0,18,6,9,ALIGNED,spy=757.12 ribbon=18c(BULL) vix=15.96(falling) bear=6/10 bull=9/11 htf=null | ribbon_chop_spread_18c_too_tight_both_sides
66,12:48:02,HOLD,757.1,12:48,12:40,757.0599975585938,12:45,757.1199951171875,757.1300048828125,756.8400268554688,0.04,0.04,24,5,7,ALIGNED,spy=757.10 ribbon=24c(BULL) vix=15.96(falling) bear=5/10 bull=7/11 | key_levels_empty_no_chart_triggers
71,13:03:02,HOLD_DEV,757.94,13:03,12:55,757.9500122070312,13:00,757.4299926757812,757.989990234375,757.4199829101562,-0.01,-0.01,50,4,9,ALIGNED,spy=757.94 ribbon=50c(BULL) vix=15.98(flat) bear=4/10 bull=9/11 htf=null | Bull ribbon-flip+vol pass; 1-trigger (key-levels empty)
72,13:06:02,HOLD,757.94,13:06,13:00,757.4299926757812,13:05,757.0999755859375,757.5800170898438,757.02001953125,0.51,0.51,50,4,9,MISALIGNED-BENIGN,spy=757.94 ribbon=50c(BULL) vix=15.98(flat) bear=4/10 bull=9/11 | BULL_filter_11_single_trigger_empty_key_levels_bear_vix_too_low
76,13:18:02,HOLD_DEV,757.19,13:18,13:10,757.3099975585938,13:15,757.344970703125,757.39990234375,757.1300048828125,-0.12,-0.12,40,4,9,MISALIGNED-BENIGN,spy=757.19 ribbon=40c(BULL) vix=15.98(cached) bear=4/10 bull=9/11 htf=null | BULL 9/11 near-miss filter_10_seller_pressure bar_1316ET_close<
78,13:24:02,HOLD,757.62,13:24,13:15,757.344970703125,13:20,757.6099853515625,757.7100219726562,757.3200073242188,0.275,0.275,39,4,11,MISALIGNED-BENIGN,spy=757.62 ribbon=39c(BULL) vix=15.98(cached) bear=4/10 bull=11/11 | ribbon_gate_a_momentum_fail_compression
81,13:33:02,HOLD_DEV,757.92,13:33,13:25,758.510009765625,13:30,757.9400024414062,758.75,757.760009765625,-0.59,-0.59,55,2,9,MISALIGNED-BENIGN,spy=757.92 ribbon=55c(BULL) vix=15.98(cached) bear=2/10 bull=9/11 htf=null | bull_9_gateB_ribbon_stale_32bars
84,13:42:02,HOLD_DEV,758.43,13:42,13:35,758.4400024414062,13:40,759.47998046875,760.27001953125,758.3699951171875,-0.01,-0.01,67,2,9,ALIGNED,spy=758.43 ribbon=67c(BULL) vix=15.81(falling) bear=2/10 bull=9/11 htf=null | bull_9 blocked spread>30c+gate_B_ribbon_stale_33bars
86,13:48:02,HOLD_DEV,759.66,13:48,13:40,759.47998046875,13:45,759.6199951171875,760.0800170898438,759.4500122070312,0.18,0.18,90,2,9,MISALIGNED-BENIGN,spy=759.66 ribbon=90c(BULL) vix=15.81(falling) bear=2/10 bull=9/11 htf=null | bull_9/11_gate_B_ribbon_stale_35bars_spread_chop
87,13:51:02,HOLD_DEV,759.77,13:51,13:45,759.6199951171875,13:50,759.9149780273438,759.9299926757812,759.52001953125,0.15,0.15,109,2,9,MISALIGNED-BENIGN,spy=759.77 ribbon=109c(BULL) vix=15.81(falling) bear=2/10 bull=9/11 htf=null | gate_B_stale_36bars_filter_6_spread_109c_chop
90,14:00:02,HOLD_DEV,759.51,14:00,13:55,759.5499877929688,14:00,759.5800170898438,759.6400146484375,759.47998046875,-0.04,-0.04,130,2,7,ALIGNED,spy=759.51 ribbon=130c(BULL) vix=15.81(falling) bear=2/10 bull=7/11 htf=null | filter_6_spread_chop_130c + gate_b_ribbon_stale_36bars + red_
91,14:03:02,HOLD,759.55,14:03,13:55,759.5499877929688,14:00,759.5800170898438,759.6400146484375,759.47998046875,0.0,0.0,130,2,8,ALIGNED,spy=759.55 ribbon=130c(BULL) vix=15.74(falling) bear=2/10 bull=8/11 htf=null | spread_chop+red_bar_no_buyer_pressure+ribbon_stale>15bars
93,14:09:02,HOLD,759.58,14:09,14:00,759.5800170898438,14:05,759.6500244140625,759.7100219726562,759.52001953125,-0.0,-0.0,130,2,8,ALIGNED,spy=759.58 ribbon=130c(BULL) vix=15.74(falling) bear=2/10 bull=8/11 htf=null | chop zone spread>30c + ribbon stale 39bars + filter_11_no_tri
96,14:18:02,HOLD,759.67,14:18,14:10,759.3800048828125,14:15,759.75,759.760009765625,759.3300170898438,0.29,0.29,128,2,8,MISALIGNED-BENIGN,spy=759.67 ribbon=128c(BULL) vix=15.74(falling) bear=2/10 bull=8/11 htf=null | chop+stale_ribbon+red_bar
101,14:33:02,HOLD,759.67,14:33,14:25,759.8204956054688,14:30,759.72998046875,759.8599853515625,759.5399780273438,-0.1505,-0.1505,127,2,8,MISALIGNED-BENIGN,spy=759.67 ribbon=127c(BULL) vix=15.74(falling) bear=2/10 bull=8/11 htf=null | ribbon_stale_>15bars_gate_b_fail_both_sides
106,14:48:02,HOLD[safe+bold],759.67,14:48,14:40,759.8499755859375,14:45,759.5650024414062,759.8599853515625,759.5449829101562,-0.18,-0.18,114,2,10,MISALIGNED-BENIGN,spy=759.67 ribbon=114c(BULL) vix=15.74(falling) bear=2/10 bull=10/11 htf=BULL | bull 10/11 blocked filter_11 triggers_only_1_need_2; bold op
111,15:03:02,(no_decision),,,14:55,759.52001953125,15:00,759.6599731445312,759.6699829101562,759.3800048828125,,,,,,NO_DATA,
114,15:12:02,HOLD[safe+bold],759.52,15:12,15:05,759.635009765625,15:10,759.469970703125,759.6500244140625,759.4500122070312,-0.115,-0.115,92,,,MISALIGNED-BENIGN,spy=759.52 ribbon=92c(BULL) vix=15.74(falling_cached_stale) bear=BLOCKED_gate1 bull=BLOCKED_gate1 | entry_window_closed_1500et_bold_position
116,15:18:02,HOLD[safe+bold],759.59,15:18,15:10,759.469970703125,15:15,759.4600219726562,759.5900268554688,759.4000244140625,0.12,0.12,76,,,MISALIGNED-BENIGN,"spy=759.59 ribbon=76c(BULL) vix=15.74(falling,stale) | entry window closed 1500ET, BOLD call -$115 theta decay to 1550ET hard stop"
121,15:33:02,HOLD,759.36,15:33,15:25,759.6799926757812,15:30,759.239990234375,759.67919921875,759.219970703125,-0.32,-0.32,65,0,0,MISALIGNED-BENIGN,spy=759.36 ribbon=65c(BULL) vix=15.74(falling) bear=0/10 bull=0/11 | entry_window_closed_1500et_bold_call_open_timestop_1750et
126,15:48:02,HOLD,759.52,15:48,15:40,759.02001953125,15:45,758.6599731445312,759.1099853515625,758.5999755859375,0.5,0.5,92,0,0,MISALIGNED-BENIGN,spy=759.52 ribbon=92c(BULL) vix=15.74(falling_stale) bear=0/10 bull=0/11 htf=null | entry_closed_1500et_flat_eod_prep
