tick_id,fire_at,decision,claimed_spy,claimed_bar_label,last_closed_bar_open,last_closed_close,in_progress_bar_open,in_progress_close_so_far,in_progress_high,in_progress_low,divergence_vs_closed,divergence_dollars,ribbon_cents,bear_score,bull_score,classification,notes
3,09:39:02,HOLD,735.62,09:39,09:30,734.5050048828125,09:35,735.4000244140625,735.6599731445312,733.8200073242188,1.115,1.115,18,4,3,MISALIGNED-BENIGN,spy=735.62 ribbon=18c(MIXED) vix=17.93(declining) bear=4/10 bull=3/11 htf=null | ribbon_compression+vix_declining block both setups; watchin
6,09:48:02,HOLD,734.48,09:48,09:40,733.5599975585938,09:45,734.5900268554688,735.3300170898438,733.0900268554688,0.92,0.92,73,7,8,MISALIGNED-BENIGN,spy=734.48 ribbon=73c(BEARISH) vix=17.93(decl) bear=7/10 bull=8/11 htf=null | VIX declining blocks bear; ribbon/volume block bull
9,09:57:02,(no_decision),,,09:50,735.7999877929688,09:55,735.3200073242188,736.2999877929688,735.1799926757812,,,,,,NO_DATA,
11,10:03:02,ENTER_BEAR,735.24,10:03,09:55,735.3200073242188,10:00,734.989990234375,735.3400268554688,733.9650268554688,-0.08,-0.08,42,8,3,MISALIGNED-BENIGN,spy=735.24 ribbon=42c(BEARISH) vix=17.93(declining) bear=8/10 bull=3/11 htf=null | BEARISH_REJECTION_RIDE_THE_RIBBON @735.40 failed_breakdow
16,10:18:02,(no_decision),,,10:10,732.9199829101562,10:15,732.530029296875,733.1199951171875,732.3300170898438,,,,,,NO_DATA,
18,10:24:02,HOLD,732.92,10:24,10:15,732.530029296875,10:20,732.719970703125,732.760009765625,731.739990234375,0.39,0.39,77,7,8,MISALIGNED-BENIGN,"spy=732.92 ribbon=77c(BEARISH) vix=17.93(declining) bear=7/10[F8] bull=8/11[F5,F10] htf=null | DEVELOPING: F8-VIX-rising blocker + F5-ribbon"
21,10:33:02,(no_decision),,,10:25,732.4199829101562,10:30,732.27001953125,733.280029296875,732.030029296875,,,,,,NO_DATA,
26,10:48:02,HOLD_DEV,731.6,10:48,10:40,732.760009765625,10:45,731.9500122070312,732.9400024414062,731.530029296875,-1.16,-1.16,139,8,8,MISALIGNED-BENIGN,spy=731.60 ribbon=139c(BEARISH) vix=17.93(declining) bear=8/10 bull=8/11 | vix-declining-blocks-bear ribbon-blocks-bull
31,11:03:02,(no_decision),,,10:55,733.1599731445312,11:00,733.3900146484375,733.6300048828125,732.7637939453125,,,,,,NO_DATA,
36,11:18:02,(no_decision),,,11:10,733.5595092773438,11:15,733.010009765625,733.9600219726562,733.0,,,,,,NO_DATA,
41,11:33:02,(no_decision),,,11:25,732.22998046875,11:30,732.6500244140625,733.2999877929688,732.0399780273438,,,,,,NO_DATA,
46,11:48:02,(no_decision),,,11:40,733.5499877929688,11:45,733.8800048828125,733.9099731445312,733.1699829101562,,,,,,NO_DATA,
51,12:03:02,(no_decision),,,11:55,732.989990234375,12:00,733.6400146484375,734.0,732.9149780273438,,,,,,NO_DATA,
56,12:18:02,(no_decision),,,12:10,732.7750244140625,12:15,733.6799926757812,733.75,732.7750244140625,,,,,,NO_DATA,
61,12:33:02,(no_decision),,,12:25,734.489990234375,12:30,734.85498046875,735.1599731445312,734.3482055664062,,,,,,NO_DATA,
66,12:48:02,HOLD_DEV,735.41,12:48,12:40,735.4400024414062,12:45,735.5,735.6699829101562,735.25,-0.03,-0.03,74,6,10,ALIGNED,spy=735.41 ribbon=74c(BULL) vix=17.93(declining) bear=6/10 bull=10/11 htf=null | ribbon_flip_bullish_level_reclaim_htf_blocking
