tick_id,fire_at,decision,claimed_spy,claimed_bar_label,last_closed_bar_open,last_closed_close,in_progress_bar_open,in_progress_close_so_far,in_progress_high,in_progress_low,divergence_vs_closed,divergence_dollars,csv_lag_minutes,ribbon_cents,bear_score,bull_score,classification,notes
3,09:39:02,HOLD,754.91,09:39,09:30,755.2000122070312,09:35,754.77001953125,755.4000244140625,754.77001953125,-0.29,-0.29,4.0,4,4,6,MISALIGNED-BENIGN,spy=754.91 ribbon=4c(BULL) vix=16.13(flat) bear=4/10 bull=6/11 htf=null | ribbon spread 4c too tight both sides
6,09:48:02,HOLD,755.25,09:48,09:40,754.8350219726562,09:45,755.1500244140625,755.4400024414062,754.6959838867188,0.415,0.415,3.0,9,4,6,MISALIGNED-BENIGN,spy=755.25 ribbon=9c(BULL) vix=16.13(flat) bear=4/10 bull=6/11 | ribbon_chop_9c_no_triggers_fired
9,09:57:02,(no_decision),,,09:50,754.9500122070312,09:55,754.0900268554688,755.0499877929688,754.0,,,2.0,,,,NO_DATA,
11,10:03:02,HOLD,754.36,10:03,09:55,754.0900268554688,10:00,754.6599731445312,754.739990234375,754.0609741210938,0.27,0.27,3.0,4,4,6,MISALIGNED-BENIGN,spy=754.36 ribbon=4c(BULL) vix=16.13(flat) bear=4/10 bull=6/11 htf=null | ribbon_chop_spread_4c_blocks_filter_6
16,10:18:02,HOLD,754.47,10:18,10:10,754.8369750976562,10:15,753.97998046875,755.0399780273438,753.8599853515625,-0.367,-0.367,3.0,11,4,9,MISALIGNED-BENIGN,spy=754.47 ribbon=11c(BULL) vix=16.13(flat) bear=4/10 bull=9/11 | ribbon_spread_11c<30c_consolidation
18,10:24:02,HOLD,753.43,10:24,10:15,753.97998046875,10:20,753.5499877929688,754.3400268554688,753.1400146484375,-0.55,-0.55,4.0,3,3,8,MISALIGNED-BENIGN,spy=753.43 ribbon=3c(MIXED) vix=16.13(flat) bear=3/10 bull=8/11 htf=null | ribbon collapse to 3c mixed stack blocks both setups
21,10:33:02,HOLD_DEV,753.05,10:33,10:25,753.0599975585938,10:30,752.5399780273438,753.0700073242188,752.27001953125,-0.01,-0.01,3.0,40,9,7,ALIGNED,"spy=753.05 ribbon=40c(BEAR) vix=16.16(flat) bear=9/10 bull=7/11 htf=null | BEAR 9/10 ribbon_flip fresh (MIXEDΓåÆBEAR 40c spread), blocked fi"
24,10:42:02,HOLD_DEV,753.65,10:42,10:35,753.5999755859375,10:40,753.2750244140625,753.9600219726562,753.27001953125,0.05,0.05,2.0,62,9,7,ALIGNED,spy=753.65 ribbon=62c(BEAR) vix=16.16(flat) bear=9/10 bull=7/11 htf=null | BEAR near-miss F8_vix_16.16_flat_not_rising; BULL F5_ribbon_not_B
26,10:48:02,HOLD_DEV,753.27,10:48,10:40,753.2750244140625,10:45,753.1099853515625,753.4299926757812,752.989990234375,-0.005,-0.005,3.0,65,9,7,ALIGNED,spy=753.27 ribbon=65c(BEAR) vix=16.16(flat) bear=9/10 bull=7/11 htf=null | VIX<17.30 blocks 9/10 bear; ribbon_flip trigger warm
27,10:51:02,HOLD_DEV,753.41,10:51,10:45,753.1099853515625,10:50,753.2000122070312,753.7000122070312,753.0875244140625,0.3,0.3,1.0,69,9,7,MISALIGNED-BENIGN,spy=753.41 ribbon=69c(BEAR) vix=15.90(falling) bear=9/10 bull=7/11 htf=null | bear near-miss filter_8 (vix too low/falling need rising)
30,11:00:02,HOLD_DEV,752.92,11:00,10:55,752.9299926757812,11:00,753.3099975585938,753.4099731445312,752.8200073242188,-0.01,-0.01,0.0,75,8,8,ALIGNED,spy=752.92 ribbon=75c(BEAR) vix=15.90(falling) bear=8/10 bull=8/11 htf=null | NEAR_MISS_BEAR_8/10_blocked_VIX_falling
31,11:03:02,HOLD_DEV,753.09,11:03,10:55,752.9299926757812,11:00,753.3099975585938,753.4099731445312,752.8200073242188,0.16,0.16,3.0,75,8,8,MISALIGNED-BENIGN,spy=753.09 ribbon=75c(BEAR) vix=15.90(falling) bear=8/10 bull=8/11 htf=null | vix_falling blocks_bear_filter_8; ribbon_bear_but_low_momentum
33,11:09:02,HOLD_DEV,753.32,11:09,11:00,753.3099975585938,11:05,753.4199829101562,753.5900268554688,752.989990234375,0.01,0.01,4.0,75,8,8,ALIGNED,spy=753.32 ribbon=75c(BEAR) vix=15.90(falling) bear=8/10 bull=8/11 htf=null | spread 75c blocks both sides
36,11:18:02,HOLD_DEV,753.41,11:18,11:10,753.4299926757812,11:15,753.030029296875,753.6699829101562,753.0,-0.02,-0.02,3.0,60,8,8,ALIGNED,spy=753.41 ribbon=60c(BEAR) vix=15.90(falling) bear=8/10 bull=8/11 htf=null | ribbon_spread_structural_blocker_both_sides
39,11:27:02,HOLD,752.53,11:27,11:20,752.9099731445312,11:25,752.64990234375,753.0999755859375,752.2990112304688,-0.38,-0.38,2.0,65,8,8,MISALIGNED-BENIGN,spy=752.53 ribbon=65c(BEAR) vix=15.90(fall) bear=8/10 bull=8/11 | spread_structural_chop_both_sides
41,11:33:02,HOLD,752.93,11:33,11:25,752.64990234375,11:30,753.1699829101562,753.27001953125,752.6300048828125,0.2801,0.2801,3.0,70,7,8,MISALIGNED-BENIGN,spy=752.93 ribbon=70c(BEAR) vix=15.90(falling) bear=7/10 bull=8/11 htf=null | vix_gate_bear ribbon_gate_bull
