tick_id,fire_at,decision,claimed_spy,claimed_bar_label,last_closed_bar_open,last_closed_close,in_progress_bar_open,in_progress_close_so_far,in_progress_high,in_progress_low,divergence_vs_closed,divergence_dollars,csv_lag_minutes,ribbon_cents,bear_score,bull_score,classification,notes
3,09:39:02,HOLD,747.75,09:39,09:30,748.10498046875,09:35,749.7680053710938,749.7999877929688,748.0,-0.355,-0.355,4.0,57,0,0,MISALIGNED-BENIGN,spy=747.75 ribbon=57c(BULL) vix=17.04(up) bear=0/10 bull=0/11 htf=null | vix_rising_blocks_both_sides
6,09:48:02,HOLD,747.75,09:48,09:40,748.22998046875,09:45,749.5,749.8499755859375,748.010009765625,-0.48,-0.48,3.0,57,0,0,MISALIGNED-BENIGN,spy=747.75 ribbon=57c(BULL) vix=17.04(up) bear=0/10 bull=0/11 htf=null | Ribbon BULL-stacked blocks BEARISH; VIX at midpoint blocks BULLISH 
9,09:59:45,HOLD_DEV,749.8,10:00,09:50,749.0800170898438,09:55,749.9099731445312,749.9400024414062,748.739990234375,0.72,0.72,4.8,111,4,9,MISALIGNED-BENIGN,spy=749.80 ribbon=111c(BULL) vix=17.04(up) bear=4/10 bull=9/11 htf=null | BULL near-miss filter_10 (close<open red bar after new-high rally)
11,10:03:02,(no_decision),,,09:55,749.9099731445312,10:00,749.6199951171875,750.0,749.4299926757812,,,3.0,,,,NO_DATA,
12,10:06:02,HOLD_DEV,749.8,10:05,10:00,749.6199951171875,10:05,749.9400024414062,749.969970703125,749.3599853515625,0.18,0.18,1.0,111,4,9,MISALIGNED-BENIGN,"spy=749.80 ribbon=111c(BULL) vix=17.04(up) bear=4/10 bull=9/11 htf=null | Bull near-miss (price +$3.30 breakout, ribbon widening, VIX OK); n"
14,10:13:23,HOLD_DEV,749.41,10:13,10:05,749.9400024414062,10:10,749.280029296875,750.1799926757812,749.2000122070312,-0.53,-0.53,3.4,124,4,9,MISALIGNED-BENIGN,spy=749.41 ribbon=124c(BULL) vix=17.04(cached) bear=4/10 bull=9/11 htf=null | BULL ribbon blocks bear; VIX cached + red bar block bull (9/11
16,10:18:02,HOLD_DEV,749.28,10:18,10:10,749.280029296875,10:15,748.4600219726562,749.3499755859375,748.260009765625,-0.0,-0.0,3.0,117,4,9,ALIGNED,spy=749.28 ribbon=117c(BULL) vix=17.04(cached) bear=4/10 bull=9/11 htf=null | bull_blocked_triggers
17,10:21:02,HOLD_DEV,748.46,10:21,10:15,748.4600219726562,10:20,747.510009765625,748.5050048828125,747.3200073242188,-0.0,-0.0,1.0,97,7,9,ALIGNED,spy=748.46 ribbon=97c(BULL) vix=17.04(cached) bear=7/10 bull=9/11 htf=null | BULL near-miss: blockers filter_10(no_buyer_pressure) filter_11
21,10:33:02,(no_decision),,,10:25,746.510009765625,10:30,745.469970703125,746.6099853515625,745.0499877929688,,,3.0,,,,NO_DATA,
26,10:48:02,HOLD_DEV,744.54,10:48,10:40,744.530029296875,10:45,744.7999877929688,745.3200073242188,744.489990234375,0.01,0.01,3.0,96,10,4,ALIGNED,spy=744.54 ribbon=96c(BEAR) vix=17.53(rising) bear=10/10 bull=4/11 htf=null | bear_10/10_ribbon_flip_but_ribbon_momentum_gate_A_fails_spread
27,10:51:02,HOLD_DEV,744.37,10:50,10:45,744.7999877929688,10:50,743.8499755859375,745.0599975585938,743.6199951171875,-0.43,-0.43,1.0,120,8,7,MISALIGNED-BENIGN,spy=744.37 ribbon=120c(BEAR) vix=17.53(rising) bear=8/10 bull=7/11 htf=null | bear_volume_filter_fail_bar3_low_vol
28,10:54:02,HOLD,744.8,10:54,10:45,744.7999877929688,10:50,743.8499755859375,745.0599975585938,743.6199951171875,0.0,0.0,4.0,96,7,3,ALIGNED,spy=744.80 ribbon=96c(BEAR) vix=17.53(rising) bear=7/10 bull=3/11 | Last closed bar bullish (744.8 > 744.54 open); bear blocked on bar struc
29,10:57:02,ENTER_BEAR,743.83,10:57,10:50,743.8499755859375,10:55,744.719970703125,744.8800048828125,743.1500244140625,-0.02,-0.02,2.0,152,10,4,ALIGNED,spy=743.83 ribbon=152c(BEAR) vix=17.53(rising) bear=10/10 bull=4/11 htf=null | BEARISH 10/10 unblocked (momentum 96->152c passes gate)
